# Python代码补全项配置文件
# 格式: name,type,description
# type可以是: keyword, function, constant, module, template, user_defined
name,type,description
waterfall,keyword,瀑布模型
devops,keyword,开发运维一体化
ci_cd,keyword,持续集成持续部署
microservices,keyword,微服务
monolith,keyword,单体应用
serverless,keyword,无服务器
cloud_computing,keyword,云计算
docker,keyword,Docker容器
kubernetes,keyword,Kubernetes容器编排
# 网络编程术语
socket,keyword,套接字
tcp,keyword,传输控制协议
udp,keyword,用户数据报协议
http,keyword,超文本传输协议
ftp,keyword,文件传输协议
smtp,keyword,简单邮件传输协议
dns,keyword,域名系统
ip_address,keyword,IP地址
port,keyword,端口
firewall,keyword,防火墙
proxy,keyword,代理服务器
load_balancer,keyword,负载均衡器
# 数据库术语
table,keyword,表
row,keyword,行
column,keyword,列
primary_key,keyword,主键
foreign_key,keyword,外键
index,keyword,索引
transaction,keyword,事务
acid,keyword,原子性一致性隔离性持久性
join,keyword,连接
inner_join,keyword,内连接
left_join,keyword,左连接
right_join,keyword,右连接
union,keyword,联合
subquery,keyword,子查询
stored_procedure,keyword,存储过程
trigger,keyword,触发器
view,keyword,视图
normalization,keyword,规范化
denormalization,keyword,反规范化
# 常用英文编程词汇
create,keyword,创建
read,keyword,读取
update,keyword,更新
delete,keyword,删除
insert,keyword,插入
select,keyword,选择
search,keyword,搜索
find,keyword,查找
filter,keyword,过滤
sort,keyword,排序
group,keyword,分组
count,keyword,计数
sum,keyword,求和
average,keyword,平均值
minimum,keyword,最小值
maximum,keyword,最大值
first,keyword,第一个
last,keyword,最后一个
next,keyword,下一个
previous,keyword,上一个
begin,keyword,开始
end,keyword,结束
start,keyword,启动
stop,keyword,停止
pause,keyword,暂停
resume,keyword,恢复
reset,keyword,重置
clear,keyword,清除
empty,keyword,空的
full,keyword,满的
valid,keyword,有效的
invalid,keyword,无效的
active,keyword,活跃的
inactive,keyword,非活跃的
enabled,keyword,启用的
disabled,keyword,禁用的
visible,keyword,可见的
hidden,keyword,隐藏的
public,keyword,公共的
private,keyword,私有的
protected,keyword,受保护的
static,keyword,静态的
dynamic,keyword,动态的
async,keyword,异步的
sync,keyword,同步的
callback,keyword,回调
promise,keyword,承诺
await,keyword,等待
thread,keyword,线程
process,keyword,进程
lock,keyword,锁
mutex,keyword,互斥锁
semaphore,keyword,信号量
deadlock,keyword,死锁
race_condition,keyword,竞态条件
# 文件操作术语
file,keyword,文件
directory,keyword,目录
folder,keyword,文件夹
path,keyword,路径
filename,keyword,文件名
extension,keyword,扩展名
size,keyword,大小
permissions,keyword,权限
owner,keyword,所有者
group,keyword,组
timestamp,keyword,时间戳
creation_time,keyword,创建时间
modification_time,keyword,修改时间
access_time,keyword,访问时间
# 错误处理术语
error,keyword,错误
exception,keyword,异常
warning,keyword,警告
debug,keyword,调试
trace,keyword,跟踪
log,keyword,日志
logging,keyword,日志记录
stack_trace,keyword,堆栈跟踪
breakpoint,keyword,断点
watchpoint,keyword,观察点
# 性能相关术语
benchmark,keyword,基准测试
profiling,keyword,性能分析
bottleneck,keyword,瓶颈
latency,keyword,延迟
throughput,keyword,吞吐量
bandwidth,keyword,带宽
memory_usage,keyword,内存使用
cpu_usage,keyword,CPU使用率
disk_usage,keyword,磁盘使用
network_usage,keyword,网络使用
garbage_collection,keyword,垃圾回收
memory_leak,keyword,内存泄漏
buffer_overflow,keyword,缓冲区溢出
